CNPA,NOMBRE DEL PRODUCTO,MERCADO,Prom. del sáb 25 al vie 31,Prom. del sáb 1 al vie 7,Var. (%),jul vie-31,ago sáb-1,ago dom-2,ago lun-3,ago mar-4,ago mié-5,ago jue-6,ago vie-7,Var % Hoy/ayer
01251,NABO (CRIOLLO/SERRANO),GMML,3.48,3.29,-5.6%,3.25,3.00,3.00,3.13,3.38,3.50,3.63,3.38,-6.9%
01251,ZANAHORIA,GMML,0.77,0.84,9.5%,0.83,0.85,0.85,0.92,0.92,0.92,0.71,0.73,2.8%
01252,AJO CRIOLLO O NAPURI,GMML,4.66,4.95,6.1%,4.38,4.50,4.50,4.75,5.00,5.25,5.25,5.38,2.5%
01252,AJO MORADO/BARRAN/LEGIT/ARICOTA/OTROS,GMML,6.57,7.04,7.0%,6.38,6.50,6.50,6.75,7.25,7.50,7.38,7.38,0.0%
01253,CEBOLLA CABEZA BLANCA NACIONAL,GMML,1.87,1.83,-2.2%,1.85,1.83,1.83,1.78,1.85,1.83,1.78,1.93,8.4%
01253,CEBOLLA CABEZA ROJA,GMML,1.70,1.73,2.0%,1.73,1.73,1.73,1.73,1.68,1.73,1.73,1.78,2.9%
01253,CEBOLLA CHINA (CRIOLLA/SERRANA),GMML,3.52,3.65,3.6%,3.38,3.38,3.38,3.50,3.63,3.63,4.00,4.00,0.0%
01254,PORO (CRIOLLO/SERRANO),GMML,2.50,2.62,4.9%,2.45,2.40,2.40,2.45,2.55,2.60,2.79,3.17,13.6%
01259,BETERRAGA (CRIOLLA/SERRANA),GMML,2.97,2.98,0.3%,3.00,2.93,2.93,2.93,3.00,3.00,3.00,3.07,2.3%
01259,RABANITO (CRIOLLO/SERRANO),GMML,4.15,4.74,14.4%,4.51,4.67,4.67,4.84,4.67,4.84,4.84,4.67,-3.5%
0129,"Hortalizas frescas, n.c.p.",,,,,,,,,,,,,
01290,CHOCLO TIPO CUSCO,GMML,3.31,3.45,4.1%,3.39,3.39,3.39,3.27,3.27,3.45,3.69,3.69,0.0%
01290,APIO CRIOLLO/SERRANO,GMML,5.06,4.83,-4.5%,4.92,4.75,4.75,4.83,4.92,4.83,4.75,5.00,5.3%
013,FRUTAS Y NUECES,,,,,,,,,,,,,
0131,Frutas tropicales y subtropicales,,,,,,,,,,,,,
01311,PALTA CRIOLLA SELVA,MMF2,2.47,2.45,-0.9%,2.48,2.48,2.48,2.48,2.46,2.46,2.40,2.40,0.0%
01311,PALTA FUERTE COSTA,MMF2,4.17,5.20,24.9%,4.75,4.85,4.85,4.85,4.95,5.38,5.70,5.83,2.3%
01311,PALTA HALL (SELVA),MMF2,1.88,1.89,0.4%,1.85,1.85,1.88,1.88,1.88,1.88,1.94,1.90,-2.1%
01311,PALTA LINDA (COSTA/SELVA),MMF2,3.05,3.03,-0.6%,3.06,3.06,3.08,3.04,2.96,2.98,3.04,3.06,0.7%
01312,PLATANO BIZCOCHO (SELVA),MMF2,1.42,1.32,-7.5%,1.33,1.33,1.33,1.32,1.32,1.28,1.31,1.32,0.8%
01312,PLATANO MANZANO (SELVA),MMF2,1.68,1.69,0.3%,1.72,1.73,1.75,1.72,1.66,1.66,1.66,1.64,-1.2%
01312,PLATANO MORADO (SELVA),MMF2,3.13,3.08,-1.8%,3.10,3.10,3.08,3.04,3.04,3.06,3.13,3.10,-1.0%
01312,PLATANO SEDA (SELVA),MMF2,2.01,2.08,3.2%,2.06,2.03,2.03,2.06,2.06,2.11,2.10,2.14,1.9%
01312,PLATANO SEDA CONGO,MMF2,2.66,2.79,4.8%,2.70,2.73,2.85,2.75,2.73,2.78,2.84,2.85,0.4%
01313,PLATANO BELLACO (SELVA),MMF2,2.37,2.41,1.7%,2.42,2.42,2.42,2.43,2.41,2.41,2.41,2.39,-0.8%
01313,PLATANO ISLA (SELVA),MMF2,2.17,2.12,-2.4%,2.10,2.10,2.10,2.12,2.12,2.10,2.12,2.16,1.9%
01313,PLATANO PALILLO/SELVA,MMF2,2.53,2.61,3.2%,2.56,2.58,2.57,2.59,2.64,2.66,2.61,2.61,0.0%
01315,HIGO MADURO O BREVAS,MMF2,6.66,6.39,-4.1%,6.50,6.50,6.50,6.36,6.32,6.32,6.36,6.36,0.0%
01316,MANGO EDWARD PLANTA,MMF2,6.72,6.88,2.4%,7.00,6.95,7.00,6.70,6.83,6.85,6.95,6.90,-0.7%
01316,MANGO HADEN /HAYDE (PLANTA),MMF2,4.96,5.46,10.0%,5.15,5.05,5.10,5.20,5.63,5.63,5.70,5.88,3.2%
01316,MANGO KENT (COSTA),MMF2,7.05,7.16,1.5%,7.33,7.45,7.45,7.33,6.98,6.88,7.00,7.05,0.7%
01317,PAPAYA SELVA,MMF2,2.03,1.97,-3.0%,2.13,2.04,2.04,2.06,2.00,1.92,1.90,1.85,-2.6%
01318,PIÑA CRIOLLA DE SELVA,MMF2,1.86,1.95,4.7%,2.10,1.98,2.00,1.94,1.90,1.96,1.96,1.92,-2.0%
01318,PIÑA GOLDEN,MMF2,2.33,2.36,1.1%,2.40,2.40,2.40,2.30,2.27,2.37,2.38,2.37,-0.4%
01318,PIÑA HAWAIANA,MMF2,2.25,2.48,10.1%,2.65,2.58,2.58,2.45,2.38,2.45,2.48,2.45,-1.2%
01319,CAMU CAMU,MMF2,6.38,6.49,1.8%,6.20,6.38,6.50,6.75,6.70,6.38,6.50,6.25,-3.8%
01319,CARAMBOLA (SELVA/COSTA),MMF2,2.74,2.32,-15.4%,2.38,2.50,2.50,2.35,2.35,2.25,2.15,2.15,0.0%
01319,CHIRIMOYA CRIOLLA O HUAYCO,MMF2,3.99,4.06,1.9%,4.15,4.15,4.13,4.13,4.08,3.95,3.98,4.03,1.3%
01319,CHIRIMOYA CUMBE,MMF2,4.31,4.30,-0.1%,4.38,4.35,4.35,4.25,4.25,4.25,4.30,4.38,1.9%
01319,COCONA (SELVA),MMF2,2.17,2.14,-1.5%,2.10,2.10,2.10,2.17,2.17,2.22,2.10,2.12,1.0%
01319,GRANADILLA COSTA (NORTE),MMF2,2.60,2.54,-2.3%,2.59,2.56,2.56,2.56,2.56,2.56,2.56,2.44,-4.7%
01319,GRANADILLA SELVA,MMF2,3.60,3.51,-2.4%,3.58,3.58,3.58,3.58,3.62,3.65,3.35,3.21,-4.2%
01319,GUANABANA DE LA SELVA,MMF2,6.76,6.77,0.1%,6.65,6.70,6.75,6.70,6.68,6.83,6.85,6.85,0.0%
01319,MARACUYA COSTA,MMF2,,3.13,6.9,3.08,3.00,3.00,3.13,3.15,3.15,3.28,3.20,-2.4
01319,MARACUYA COSTA,GMML,,2.82,3.0,2.73,2.73,2.73,2.75,2.75,2.78,2.78,3.25,16.9
01319,PEPINO RAYADO O MELON,MMF2,,4.10,-1.3,4.13,4.13,4.13,4.13,4.05,4.05,4.08,4.10,0.5
0132,Frutas cítricas,,,,,,,,,,,,,
01321,TORONJA COSTA CON PEPA,MMF2,,4.86,-0.4,4.88,4.93,4.90,4.85,4.88,4.93,4.75,4.75,0.0
01321,TORONJA SELVA CON PEPA,MMF2,,3.19,1.0,3.21,3.27,3.25,3.21,3.23,3.27,3.04,3.04,0.0
01322,LIMA DULCE (COSTA),MMF2,,3.83,-5.1,3.93,3.93,3.90,3.85,3.70,3.75,3.85,3.85,0.0
01322,LIMON DULCE - SELVA,MMF2,,1.19,1.0,1.14,1.14,1.15,1.14,1.18,1.19,1.26,1.26,0.0
01322,LIMON SUTIL BOLSA,GMML,,1.78,-6.2,1.86,1.89,1.89,1.94,1.72,1.72,1.69,1.64,-3.0
01322,LIMON SUTIL CAJON,GMML,,2.20,-8.4,2.34,2.39,2.39,2.50,2.07,2.07,2.01,1.96,-2.5
01323,NARANJA PRIMAVERA (COSTA),MMF2,,2.65,-5.8,2.73,2.73,2.70,2.65,2.65,2.63,2.58,2.58,0.0
01323,NARANJA TANGELO SELVA,MMF2,,2.17,6.2,2.14,2.11,2.11,2.13,2.11,2.11,2.30,2.33,1.3
01323,NARANJA VALENCIA,MMF2,,0.94,2.8,0.94,0.90,0.90,0.98,0.95,0.94,0.94,0.94,0.0
01323,NARANJA WASHINGTON NAVAL(COSTA),MMF2,,3.73,-0.4,3.75,3.75,3.75,3.75,3.75,3.75,3.73,3.65,-2.1
01324,MANDARINA SATSUMA (COSTA),MMF2,,2.85,-1.3,2.90,2.90,2.90,2.90,2.83,2.80,2.80,2.80,0.0
01324,MANDARINA TANGERINA,MMF2,,1.05,0.0,1.08,1.08,1.06,1.03,1.03,1.05,1.05,1.05,0.0
0133,Uvas,,,,,,,,,,,,,
01330,UVA ALFONSO LAVALETT (NEGRA),MMF2,,3.89,2.9,3.80,3.83,3.83,3.80,3.88,3.88,3.98,4.03,1.3
